M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
268.0280151,3754.73999,47.10200119,435.7449951,200.1809998,13.50409985,305.2739868,3787.179932,60.28239822,405.4970093,197.7420044,9.225489616,218.3130035,74.97930145,39.43190002,203.548996,87.38580322,42.35279846,0,0,0,1,0.0
428.3380127,3430.070068,43.2826004,450.0669861,254.5800018,17.47179985,477.881012,3402.52002,55.79090118,411.5039978,247.8730011,10.27770042,211.3370056,63.56430054,38.54809952,200.6089935,71.28849792,41.28730011,0,0,0,1,0.0
371.4309998,3272.110107,42.07920074,433.7990112,242.7709961,16.83889961,422.2850037,3326.23999,54.47689819,394.3080139,250.0379944,9.761650085,210.901001,64.66280365,38.55369949,195.7369995,74.62509918,41.15579987,0,0,0,1,0.0
462.7470093,3478.850098,43.82540131,460.0610046,261.9830017,17.88459969,510.4849854,3462.439941,55.78079987,422.743988,254.6799927,10.60060024,211.3200073,63.35969925,38.54700089,204.7720032,69.49749756,41.25899887,0,0,0,1,0.0
275.0899963,3771.149902,47.64550018,441.9790039,210.201004,14.03610039,328.0100098,3786.959961,61.07690048,407.9450073,204.7129974,9.342889786,218.7120056,77.47750092,39.45389938,207.3029938,89.19249725,42.49029922,0,0,0,1,0.0
328.2380066,3403.350098,41.34170151,425.8640137,225.6150055,15.94419956,380.4599915,3432.580078,54.63639832,391.9649963,225.9409943,9.243000031,208.5579987,67.04550171,38.48989868,192.9049988,80.47250366,40.75130081,1,0,0,0,0.0
284.4079895,3766.77002,44.37900162,433.5180054,211.8150024,13.26399994,329.0320129,3716.97998,59.57839966,402.1700134,205.102005,8.839280128,218.3659973,78.55580139,39.26959991,208.845993,81.13420105,42.20759964,1,0,0,0,0.0
325.4530029,3481.120117,42.0605011,429.553009,225.4089966,14.90190029,369.3460083,3498.050049,55.36009979,394.072998,220.6909943,9.087710381,212.1210022,69.6414032,38.21149826,198.5099945,79.55110168,41.64099884,1,0,0,0,0.0
333.0209961,3416.639893,40.89820099,425.1589966,227.6670074,16.28639984,380.8599854,3428.429932,54.0304985,390.5159912,223.9730072,9.360349655,210.1940002,65.87550354,37.96720123,195.1390076,78.6812973,40.27209854,1,0,0,0,0.0
299.8469849,3672.159912,43.48279953,433.230011,219.0160065,13.75969982,348.4760132,3653.639893,59.28649902,400.8070068,221.3560028,8.802619934,217.7689972,75.44190216,39.21310043,206.1410065,81.40709686,42.1977005,1,0,0,0,0.0
290.0270081,3763.840088,52.84180069,457.9790039,236.8150024,15.72799969,359.1300049,3784.48999,64.81279755,414.9379883,229.2830048,10.31709957,220.8099976,86.5094986,39.52750015,221.6399994,94.50379944,42.97219849,0,0,0,1,0.0
296.946991,3767.52002,43.52080154,447.9859924,238.6999969,15.57520008,389.0969849,3708.449951,61.82329941,411.2489929,237.6269989,9.941260338,218.8880005,73.85870361,39.3742981,208.3950043,88.37380219,42.65250015,0,0,0,1,0.0
272.5589905,3749.070068,46.17079926,433.2430115,201.5820007,13.31760025,311.0570068,3784.560059,59.52780151,403.4580078,199.0379944,8.966549873,217.6600037,73.66459656,39.39099884,199.496994,85.75879669,42.20149994,0,0,0,1,0.0
